Entry,YEAR,COMPLEX,MEADOW,DATE,WATCH,OBSERVER,PLOT,STATUS,SPP_CODE,SPP_NAME,NO_STALK,NO_FLW,TOT_FLW,OLD_TOT_FLW
63,2013,Carpenter,CPB,7/16/2013,3,Kyra,2,FLW,ACHIMILL,Achillea millefolium,1,12,12,3
2333,2013,Frissel,M2,8/7/2013,6,Noelle,4,FLW,ACHIMILL,Achillea millefolium,2,6,12,549
73,2014,Lookout,LM,7/1/2014,1,IP,2,FLW,ACHIMILL,Achillea millefolium,3,4,12,50
189,2013,Carpenter,CPB,8/6/2013,6,Noelle,2,FLW,ACHIMILL,Achillea millefolium,1,13,13,5
1803,2013,Lookout,LS,7/15/2013,3,Scott,4,FLW,ACHIMILL,Achillea millefolium,1,13,13,8
2836,2013,Frissel,RP1,8/21/2013,7,ALR,4,FLW,ACHIMILL,Achillea millefolium,1,13,13,NA
1,2014,Carpenter,CPB,7/4/2014,1,JL,1,FLW,ACHIMILL,Achillea millefolium,1,13,13,20
63,2014,Carpenter,CPS,7/2/2014,1,EH,7,FLW,ACHIMILL,Achillea millefolium,1,13,13,1
155,2013,Carpenter,CPB,7/29/2013,5,ALR,2,FLW,ACHIMILL,Achillea millefolium,1,14,14,8
825,2013,Carpenter,CPS,7/22/2013,4,Scott,10,FLW,ACHIMILL,Achillea millefolium,1,14,14,54
125,2014,Lookout,LO,7/11/2014,2,IP,7,FLW,ACHIMILL,Achillea millefolium,1,14,14,7
231,2013,Carpenter,CPB,8/14/2013,7,Vera,8,FLW,ACHIMILL,Achillea millefolium,3,5,15,32
24,2014,Carpenter,CPB,7/31/2014,4,RD,9,FLW,ACHIMILL,Achillea millefolium,1,15,15,10
131,2014,Lookout,LO,8/5/2014,5,DY,8,FLW,ACHIMILL,Achillea millefolium,1,15,15,320
212,2014,Frissel,NE,8/6/2014,5,RD,3,FLW,ACHIMILL,Achillea millefolium,1,15,15,30
228,2014,Frissel,RP1,8/6/2014,5,JL,2,FLW,ACHIMILL,Achillea millefolium,1,15,15,20
2336,2013,Frissel,M2,8/7/2013,6,Noelle,5,FLW,ACHIMILL,Achillea millefolium,16,1,16,402
2964,2013,Frissel,RP2,7/17/2013,3,Noelle,4,FLW,ACHIMILL,Achillea millefolium,1,18,18,22
117,2014,Lookout,LO,7/18/2014,3,IP,4,FLW,ACHIMILL,Achillea millefolium,1,18,18,2
1135,2013,Lookout,LM,7/9/2013,2,Scott,10,FLW,ACHIMILL,Achillea millefolium,1,19,19,20
226,2014,Frissel,RP1,7/26/2014,3,LKB,2,FLW,ACHIMILL,Achillea millefolium,1,19,19,12
25,2014,Carpenter,CPB,8/7/2014,5,JL,9,FLW,ACHIMILL,Achillea millefolium,2,10,20,6
233,2014,Frissel,RP1,8/6/2014,5,IP,3,FLW,ACHIMILL,Achillea millefolium,1,20,20,15
279,2014,Frissel,RP2,8/6/2014,5,IP,5,FLW,ACHIMILL,Achillea millefolium,1,20,20,5
512,2013,Carpenter,CPM,7/29/2013,5,Kyra,7,FLW,ACHIMILL,Achillea millefolium,2,10.5,21,1
1583,2013,Lookout,LO,7/30/2013,5,Kyra,1,FLW,ACHIMILL,Achillea millefolium,1,21,21,2
1637,2013,Lookout,LO,8/16/2013,7,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,21,21,1
2005,2013,Frissel,M2,7/3/2013,1,Kyra,5,FLW,ACHIMILL,Achillea millefolium,1,22,22,197
159,2013,Carpenter,CPB,7/29/2013,5,Scott,3,FLW,ACHIMILL,Achillea millefolium,1,23,23,42
537,2013,Carpenter,CPM,8/6/2013,6,Scott,7,FLW,ACHIMILL,Achillea millefolium,2,11.5,23,105
1951,2013,Lookout,LS,8/20/2013,7,ALR,4,FLW,ACHIMILL,Achillea millefolium,1,23,23,NA
2329,2013,Frissel,M2,8/7/2013,6,Noelle,3,FLW,ACHIMILL,Achillea millefolium,1,23,23,8
130,2014,Lookout,LO,8/1/2014,4,KH,8,FLW,ACHIMILL,Achillea millefolium,1,23,23,141.3
209,2014,Frissel,NE,7/17/2014,2,DY,3,FLW,ACHIMILL,Achillea millefolium,1,23,23,40
209,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",3,FLW,ACHIMILL,Achillea millefolium,1,24,24,24
113,2013,Carpenter,CPB,7/22/2013,4,Fabian,2,FLW,ACHIMILL,Achillea millefolium,1,24,24,8
20,2014,Carpenter,CPB,7/10/2014,2,IP,8,FLW,ACHIMILL,Achillea millefolium,3,8,24,3
272,2014,Frissel,RP2,7/9/2014,1,DY,3,FLW,ACHIMILL,Achillea millefolium,2,12,24,1
930,2011,Cone,CNM,8/5/2011,3,Andy,2,FLW,ACHIMILL,Achillea millefolium,1,25,25,25
1833,2011,Carpenter,CPM,8/18/2011,5,Vera,2,FLW,ACHIMILL,Achillea millefolium,1,25,25,25
2833,2012,Frissel,M2,8/9/2014,4,Andy,7,FLW,ACHIMILL,Achillea millefolium,1,25,25,720
117,2013,Carpenter,CPB,7/22/2013,4,Fabian,3,FLW,ACHIMILL,Achillea millefolium,1,25,25,129.5
1020,2013,Lookout,LM,7/3/2013,1,Scott,8,FLW,ACHIMILL,Achillea millefolium,1,25,25,2
1256,2013,Lookout,LM,7/24/2013,4,Fabian,8,FLW,ACHIMILL,Achillea millefolium,1,25,25,4
123,2014,Lookout,LO,8/5/2014,5,DY,5,FLW,ACHIMILL,Achillea millefolium,1,25,25,225
211,2014,Frissel,NE,7/30/2014,4,DY,3,FLW,ACHIMILL,Achillea millefolium,1,25,25,6
142,2013,Carpenter,CPB,7/22/2013,4,ALR,9,FLW,ACHIMILL,Achillea millefolium,1,26,26,52
2913,2013,Frissel,RP2,7/11/2013,2,Noelle,4,FLW,ACHIMILL,Achillea millefolium,26,1,26,95
47,2011,Bunchgrass,BD,8/2/2011,3,"Andy, Tim",2,FLW,ACHIMILL,Achillea millefolium,1,27,27,27
3157,2012,Frissel,RP2,7/17/2014,2,Linnet,9,FLW,ACHIMILL,Achillea millefolium,1,27,27,138.6
1212,2013,Lookout,LM,7/15/2013,3,Scott,10,FLW,ACHIMILL,Achillea millefolium,1,27,27,52
6,2014,Carpenter,CPB,7/10/2014,2,DY,2,FLW,ACHIMILL,Achillea millefolium,1,27,27,34.1
107,2014,Lookout,LO,7/11/2014,2,LKB,1,FLW,ACHIMILL,Achillea millefolium,2,13.5,27,5.01
118,2011,Bunchgrass,BD,8/22/2011,5,Vera,4,FLW,ACHIMILL,Achillea millefolium,1,28,28,28
2351,2013,Frissel,M2,8/21/2013,7,Vera,2,FLW,ACHIMILL,Achillea millefolium,1,28,28,465
295,2011,Bunchgrass,BH,8/2/2011,3,"Tim, Andy",10,FLW,ACHIMILL,Achillea millefolium,2,15,30,30
495,2011,Cone,CNE,7/22/2011,1,Tiffany,6,FLW,ACHIMILL,Achillea millefolium,3,10,30,30
630,2012,Cone,CNE,8/10/2014,4,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,30,30,6
200,2013,Carpenter,CPB,8/6/2013,6,Fabian,6,FLW,ACHIMILL,Achillea millefolium,1,30,30,5
2325,2013,Frissel,M2,8/7/2013,6,Noelle,2,FLW,ACHIMILL,Achillea millefolium,1,30,30,2
112,2014,Lookout,LO,7/11/2014,2,LKB,2,FLW,ACHIMILL,Achillea millefolium,1,30,30,6
109,2014,Lookout,LO,8/1/2014,4,RD,1,FLW,ACHIMILL,Achillea millefolium,2,15,30,2
198,2014,Frissel,M2,7/30/2014,4,RD,5,FLW,ACHIMILL,Achillea millefolium,10,3,30,150
227,2014,Frissel,RP1,7/30/2014,4,IP,2,FLW,ACHIMILL,Achillea millefolium,2,15,30,1
1242,2013,Lookout,LM,7/24/2013,4,Scott,5,FLW,ACHIMILL,Achillea millefolium,1,31,31,4
2194,2013,Frissel,M2,7/17/2013,3,Scott,9,FLW,ACHIMILL,Achillea millefolium,1,31,31,1
193,2014,Frissel,M2,7/26/2014,3,KH,8,FLW,ACHIMILL,Achillea millefolium,1,31,31,36
42,2012,Bunchgrass,BD,7/12/2014,2,Brian/Andy,3,FLW,ACHIMILL,Achillea millefolium,1,32,32,55
232,2013,Carpenter,CPB,8/14/2013,7,Vera,9,FLW,ACHIMILL,Achillea millefolium,4,8,32,133
788,2013,Carpenter,CPS,7/8/2013,2,Kyra,5,FLW,ACHIMILL,Achillea millefolium,1,32,32,104
2145,2013,Frissel,M2,7/17/2013,3,Kyra,3,FLW,ACHIMILL,Achillea millefolium,1,33,33,140
2,2014,Carpenter,CPB,7/10/2014,2,IP,1,FLW,ACHIMILL,Achillea millefolium,3,11,33,20
120,2014,Lookout,LO,7/11/2014,2,LKB,5,FLW,ACHIMILL,Achillea millefolium,1,33,33,3
1427,2011,Carpenter,CPB,7/22/2011,2,Tiffany,10,FLW,ACHIMILL,Achillea millefolium,1,34,34,34
1103,2012,Carpenter,CPB,7/12/2014,2,Vera,4,FLW,ACHIMILL,Achillea millefolium,1,34,34,1
1232,2013,Lookout,LM,7/24/2013,4,Scott,3,FLW,ACHIMILL,Achillea millefolium,1,34,34,45
2320,2013,Frissel,M2,8/7/2013,6,Noelle,1,FLW,ACHIMILL,Achillea millefolium,1,34,34,1
72,2014,Lookout,LM,8/5/2014,5,RD,1,FLW,ACHIMILL,Achillea millefolium,2,17,34,6
506,2012,Bunchgrass,BS,8/14/2014,5,Mark,5,FLW,ACHIMILL,Achillea millefolium,1,35,35,NA
510,2012,Bunchgrass,BS,8/14/2014,5,Mark,8,FLW,ACHIMILL,Achillea millefolium,1,35,35,6
1493,2012,Carpenter,CPM,8/15/2014,5,Mark,2,FLW,ACHIMILL,Achillea millefolium,1,35,35,42
1698,2012,Carpenter,CPS,7/12/2014,2,Vera,7,FLW,ACHIMILL,Achillea millefolium,1,35,35,5
2409,2012,Lookout,LS,8/2/2014,3,Mark,4,FLW,ACHIMILL,Achillea millefolium,1,35,35,4
2646,2012,Frissel,M2,7/17/2014,2,Andy,8,FLW,ACHIMILL,Achillea millefolium,1,35,35,2
2919,2012,Frissel,RP1,7/9/2014,1,Andy/Brian,8,FLW,ACHIMILL,Achillea millefolium,1,35,35,1
1283,2013,Lookout,LM,7/30/2013,5,Scott,8,FLW,ACHIMILL,Achillea millefolium,1,35,35,4
2742,2011,Lookout,LO,7/29/2011,2,Vera,3,FLW,ACHIMILL,Achillea millefolium,1,36,36,42
3389,2011,Frissel,M2,9/9/2011,6,Vera,8,FLW,ACHIMILL,Achillea millefolium,1,36,36,2
177,2012,Bunchgrass,BD,8/14/2014,5,Andy,3,FLW,ACHIMILL,Achillea millefolium,1,36,36,4
416,2012,Bunchgrass,BH,8/14/2014,5,Mark,8,FLW,ACHIMILL,Achillea millefolium,1,36,36,7.2
653,2012,Cone,CNE,8/10/2014,4,Vera,9,FLW,ACHIMILL,Achillea millefolium,1,36,36,6
752,2012,Cone,CNM,7/24/2014,2,Andy,2,FLW,ACHIMILL,Achillea millefolium,1,36,36,36
806,2012,Cone,CNM,7/24/2014,2,Andy,9,FLW,ACHIMILL,Achillea millefolium,1,36,36,16
964,2012,Cone,CNT,7/24/2014,2,Mark,3,FLW,ACHIMILL,Achillea millefolium,1,36,36,67.5
1003,2012,Cone,CNT,8/3/2014,3,Vera,3,FLW,ACHIMILL,Achillea millefolium,1,36,36,2
1393,2012,Carpenter,CPM,7/31/2014,3,Andy,4,FLW,ACHIMILL,Achillea millefolium,1,36,36,5
1693,2012,Carpenter,CPS,7/12/2014,2,Vera,6,FLW,ACHIMILL,Achillea millefolium,1,36,36,3
1723,2012,Carpenter,CPS,7/31/2014,3,Andy,7,FLW,ACHIMILL,Achillea millefolium,1,36,36,12
2237,2012,Lookout,LS,7/10/2014,1,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,36,36,1
2660,2012,Frissel,M2,7/17/2014,2,Andy,9,FLW,ACHIMILL,Achillea millefolium,1,36,36,429
41,2013,Carpenter,CPB,7/8/2013,2,Kyra,3,FLW,ACHIMILL,Achillea millefolium,1,36,36,2
3054,2013,Frissel,RP2,8/21/2013,7,ALR,8,FLW,ACHIMILL,Achillea millefolium,1,36,36,42
7,2014,Carpenter,CPB,7/4/2014,1,IP,3,FLW,ACHIMILL,Achillea millefolium,3,12,36,1
86,2014,Lookout,LM,7/1/2014,1,IP,5,FLW,ACHIMILL,Achillea millefolium,3,12.125,36.375,35.2
198,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",1,FLW,ACHIMILL,Achillea millefolium,1,37,37,37
1606,2011,Carpenter,CPB,9/8/2011,6,Vera,8,FLW,ACHIMILL,Achillea millefolium,1,37,37,37
267,2012,Bunchgrass,BH,7/12/2014,2,Brian/Andy,4,FLW,ACHIMILL,Achillea millefolium,1,37,37,45
1194,2012,Carpenter,CPB,8/8/2014,4,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,37,37,1
2456,2012,Lookout,LS,8/9/2014,4,Amanda,2,FLW,ACHIMILL,Achillea millefolium,1,37,37,9
124,2013,Carpenter,CPB,7/22/2013,4,ALR,6,FLW,ACHIMILL,Achillea millefolium,1,37,37,2
779,2013,Carpenter,CPS,7/8/2013,2,Kyra,2,FLW,ACHIMILL,Achillea millefolium,5,7.5,37.5,1
203,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",2,FLW,ACHIMILL,Achillea millefolium,1,38,38,38
247,2011,Bunchgrass,BH,7/28/2011,2,"Andy, Tim",10,FLW,ACHIMILL,Achillea millefolium,1,38,38,38
2053,2011,Carpenter,CPR,8/18/2011,5,Vera,6,FLW,ACHIMILL,Achillea millefolium,1,38,38,32
3307,2011,Frissel,M2,8/17/2011,4,Vera,10,FLW,ACHIMILL,Achillea millefolium,1,38,38,10
3383,2011,Frissel,M2,9/9/2011,6,Vera,6,FLW,ACHIMILL,Achillea millefolium,1,38,38,258
3478,2011,Frissel,RP1,7/26/2011,2,Vera,5,FLW,ACHIMILL,Achillea millefolium,1,38,38,4
3542,2011,Frissel,RP1,8/3/2011,3,Vera,6,FLW,ACHIMILL,Achillea millefolium,1,38,38,10.5
441,2012,Bunchgrass,BS,7/5/2014,1,Carolyn,7,NOF,ACHIMILL,Achillea millefolium,1,38,38,3
457,2012,Bunchgrass,BS,7/12/2014,2,Andy,4,FLW,ACHIMILL,Achillea millefolium,1,38,38,19
594,2012,Cone,CNE,8/3/2014,3,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,38,38,20
1671,2012,Carpenter,CPS,7/12/2014,2,Linnet,1,FLW,ACHIMILL,Achillea millefolium,1,38,38,8.1
1745,2012,Carpenter,CPS,8/8/2014,4,Andy,7,FLW,ACHIMILL,Achillea millefolium,1,38,38,NA
2021,2012,Lookout,LM,8/9/2014,4,Amanda,5,FLW,ACHIMILL,Achillea millefolium,1,38,38,48
2154,2012,Lookout,LO,8/2/2014,3,Vera,2,FLW,ACHIMILL,Achillea millefolium,1,38,38,560
3169,2012,Frissel,RP2,8/6/2014,3,Olivia,2,FLW,ACHIMILL,Achillea millefolium,1,38,38,6
1117,2013,Lookout,LM,7/9/2013,2,Scott,8,FLW,ACHIMILL,Achillea millefolium,1,38,38,27
2268,2013,Frissel,M2,8/2/2013,5,Scott,2,FLW,ACHIMILL,Achillea millefolium,1,38,38,3
147,2014,Lookout,LS,7/8/2014,1,DY,3,FLW,ACHIMILL,Achillea millefolium,1,38.5,38.5,38.5
3552,2011,Frissel,RP1,8/3/2011,3,Vera,7,FLW,ACHIMILL,Achillea millefolium,1,39,39,12
1721,2012,Carpenter,CPS,7/31/2014,3,Andy,6,FLW,ACHIMILL,Achillea millefolium,1,39,39,78
133,2014,Lookout,LO,7/11/2014,2,LKB,9,FLW,ACHIMILL,Achillea millefolium,1,39,39,1326
1477,2012,Carpenter,CPM,8/8/2014,4,Mark,9,FLW,ACHIMILL,Achillea millefolium,1,40,40,324
332,2013,Carpenter,CPM,7/8/2013,2,Noelle,4,FLW,ACHIMILL,Achillea millefolium,2,20,40,8
404,2013,Carpenter,CPM,7/16/2013,3,Fabian,4,FLW,ACHIMILL,Achillea millefolium,1,40,40,2
1929,2013,Lookout,LS,8/5/2013,6,Fabian,4,FLW,ACHIMILL,Achillea millefolium,1,40,40,80
23,2014,Carpenter,CPB,8/7/2014,5,JL,8,FLW,ACHIMILL,Achillea millefolium,2,20,40,22.5
129,2014,Lookout,LO,7/18/2014,3,KH,8,FLW,ACHIMILL,Achillea millefolium,1,40,40,14
258,2014,Frissel,RP1,7/9/2014,1,RM,10,FLW,ACHIMILL,Achillea millefolium,1,40,40,24
1199,2013,Lookout,LM,7/15/2013,3,Kyra,8,FLW,ACHIMILL,Achillea millefolium,41,1,41,3
1050,2011,Cone,CNM,8/20/2011,5,Vera,2,FLW,ACHIMILL,Achillea millefolium,1,42,42,42
3187,2011,Frissel,M2,8/3/2011,3,Andy,5,FLW,ACHIMILL,Achillea millefolium,1,42,42,68.4
3207,2011,Frissel,M2,8/4/2011,3,Tiffany,7,FLW,ACHIMILL,Achillea millefolium,1,42,42,12
179,2013,Carpenter,CPB,7/29/2013,5,Noelle,9,FLW,ACHIMILL,Achillea millefolium,2,21,42,107
1313,2013,Lookout,LM,8/16/2013,7,ALR,3,FLW,ACHIMILL,Achillea millefolium,1,42,42,442
2306,2013,Frissel,M2,8/2/2013,5,Noelle,9,FLW,ACHIMILL,Achillea millefolium,1,42,42,6
96,2014,Lookout,LM,8/1/2014,4,RM,8,FLW,ACHIMILL,Achillea millefolium,2,21,42,1
111,2014,Lookout,LO,7/8/2014,1,DY,2,FLW,ACHIMILL,Achillea millefolium,1,42,42,16
115,2014,Lookout,LO,8/5/2014,5,RM,2,FLW,ACHIMILL,Achillea millefolium,1,42,42,560
243,2014,Frissel,RP1,7/9/2014,1,LKB,6,FLW,ACHIMILL,Achillea millefolium,1,42,42,15
403,2011,Bunchgrass,BS,8/2/2011,3,Tim + Andy,7,FLW,ACHIMILL,Achillea millefolium,1,43,43,43
2736,2011,Lookout,LO,7/29/2011,2,Vera,2,FLW,ACHIMILL,Achillea millefolium,2,22,44,48
529,2013,Carpenter,CPM,8/6/2013,6,Kyra,4,FLW,ACHIMILL,Achillea millefolium,2,22,44,14
17,2014,Carpenter,CPB,7/10/2014,2,RD,7,FLW,ACHIMILL,Achillea millefolium,4,11,44,4
2182,2011,Carpenter,CPS,8/2/2011,3,Vera,6,FLW,ACHIMILL,Achillea millefolium,2,22.5,45,38
97,2014,Lookout,LM,8/5/2014,5,KH,8,FLW,ACHIMILL,Achillea millefolium,2,22.5,45,4
138,2014,Lookout,LO,7/11/2014,2,IP,10,FLW,ACHIMILL,Achillea millefolium,3,15,45,6
2310,2012,Lookout,LS,7/10/2014,1,Linnet,10,FLW,ACHIMILL,Achillea millefolium,1,46,46,1050
319,2012,Bunchgrass,BH,8/1/2014,3,Andy,4,FLW,ACHIMILL,Achillea millefolium,1,48,48,163.3
2158,2013,Frissel,M2,7/17/2013,3,Kyra,5,FLW,ACHIMILL,Achillea millefolium,2,24,48,10
1742,2013,Lookout,LS,7/10/2013,2,Kyra,5,FLW,ACHIMILL,Achillea millefolium,1,49,49,3
2272,2013,Frissel,M2,8/2/2013,5,Scott,3,FLW,ACHIMILL,Achillea millefolium,1,49,49,796
2301,2013,Frissel,M2,8/2/2013,5,Scott,8,FLW,ACHIMILL,Achillea millefolium,1,49,49,2.25
168,2013,Carpenter,CPB,7/29/2013,5,Noelle,6,FLW,ACHIMILL,Achillea millefolium,1,50,50,7
2228,2013,Frissel,M2,7/23/2013,4,Fabian,4,FLW,ACHIMILL,Achillea millefolium,1,50,50,322
2838,2013,Frissel,RP1,8/21/2013,7,ALR,6,FLW,ACHIMILL,Achillea millefolium,1,50,50,NA
21,2014,Carpenter,CPB,7/29/2014,3,LKB,8,FLW,ACHIMILL,Achillea millefolium,2,25,50,19
137,2014,Lookout ,LO,7/8/2014,1,RM,10,FLW,ACHIMILL,Achillea millefolium,1,50,50,70
18,2014,Carpenter,CPB,7/29/2014,3,LKB,7,FLW,ACHIMILL,Achillea millefolium,3,16.7,50.1,1092
42,2011,Bunchgrass,BD,8/2/2011,3,"Andy, Tim",1,FLW,ACHIMILL,Achillea millefolium,2,26,52,52
2221,2011,Carpenter,CPS,8/9/2011,4,Andy,10,FLW,ACHIMILL,Achillea millefolium,1,52,52,2
2427,2011,Lookout,LM,8/4/2011,3,Vera,1,FLW,ACHIMILL,Achillea millefolium,1,52,52,4
2585,2011,Lookout,LM,8/10/2011,4,Vera,6,FLW,ACHIMILL,Achillea millefolium,2,26,52,67
2504,2012,Frissel,M2,7/17/2014,2,Andy,2,FLW,ACHIMILL,Achillea millefolium,1,52,52,20
2583,2012,Frissel,M2,7/17/2014,2,Andy,3,FLW,ACHIMILL,Achillea millefolium,1,52,52,429
2112,2013,Frissel,M2,7/11/2013,2,Kyra,9,FLW,ACHIMILL,Achillea millefolium,1,52,52,3
135,2014,Lookout,LO,8/1/2014,4,KH,9,FLW,ACHIMILL,Achillea millefolium,2,26.5,53,180
155,2012,Bunchgrass,BD,8/7/2014,4,Andy,8,FLW,ACHIMILL,Achillea millefolium,2,27,54,2
1608,2013,Lookout,LO,7/30/2013,5,Fabian,10,FLW,ACHIMILL,Achillea millefolium,4,13.5,54,45
213,2014,Frissel,NE,7/26/2014,3,KH,4,FLW,ACHIMILL,Achillea millefolium,2,27,54,130
546,2013,Carpenter,CPM,8/6/2013,6,Scott,9,FLW,ACHIMILL,Achillea millefolium,1,55,55,27.5
208,2014,Frissel,NE,7/8/2014,1,JL,3,FLW,ACHIMILL,Achillea millefolium,2,27.5,55,3
2180,2011,Carpenter,CPS,8/2/2011,3,Vera,5,FLW,ACHIMILL,Achillea millefolium,2,28,56,608
176,2013,Carpenter,CPB,7/29/2013,5,Noelle,8,FLW,ACHIMILL,Achillea millefolium,4,14,56,8
22,2014,Carpenter,CPB,7/31/2014,4,RD,8,FLW,ACHIMILL,Achillea millefolium,2,28,56,39
1502,2011,Carpenter,CPB,8/9/2011,4,Tiffany,3,FLW,ACHIMILL,Achillea millefolium,1,58,58,58
1000,2011,Cone,CNM,8/12/2011,4,Andy,3,FLW,ACHIMILL,Achillea millefolium,1,59,59,59
2753,2011,Lookout,LO,7/29/2011,2,Vera,5,FLW,ACHIMILL,Achillea millefolium,1,59,59,150
129,2012,Bunchgrass,BD,8/7/2014,4,Andy,2,FLW,ACHIMILL,Achillea millefolium,1,59,59,20.8
94,2014,Lookout,LM,7/1/2014,1,JL,7,FLW,ACHIMILL,Achillea millefolium,3,19.67,59.01,2
108,2012,Bunchgrass,BD,8/1/2014,3,Mark,7,FLW,ACHIMILL,Achillea millefolium,1,60,60,5
1519,2012,Carpenter,CPM,8/15/2014,5,Mark,9,FLW,ACHIMILL,Achillea millefolium,1,60,60,12
2210,2012,Lookout,LO,8/9/2014,4,Vera,4,FLW,ACHIMILL,Achillea millefolium,2,30,60,26
465,2013,Carpenter,CPM,7/22/2013,4,ALR,4,FLW,ACHIMILL,Achillea millefolium,1,60,60,2
503,2013,Carpenter,CPM,7/29/2013,5,Fabian,4,FLW,ACHIMILL,Achillea millefolium,1,60,60,5
2214,2013,Frissel,M2,7/23/2013,4,Fabian,2,FLW,ACHIMILL,Achillea millefolium,1,60,60,64
40,2014,Carpenter,CPM,8/7/2014,5,DY,7,FLW,ACHIMILL,Achillea millefolium,4,15,60,42
106,2014,Lookout,LO,7/8/2014,1,KH,1,FLW,ACHIMILL,Achillea millefolium,1,60,60,15
108,2014,Lookout,LO,7/18/2014,3,JL,1,FLW,ACHIMILL,Achillea millefolium,3,20,60,18
171,2014,Lookout,LS,7/11/2014,2,KH,8,FLW,ACHIMILL,Achillea millefolium,2,30,60,10
170,2014,Lookout,LS,8/5/2014,5,IP,7,FLW,ACHIMILL,Achillea millefolium,4,15,60,4
1897,2013,Lookout,LS,7/30/2013,5,Noelle,5,FLW,ACHIMILL,Achillea millefolium,1,61,61,3
2143,2012,Lookout,LO,7/25/2014,2,Vera,10,FLW,ACHIMILL,Achillea millefolium,1,62,62,1
72,2013,Carpenter,CPB,7/16/2013,3,Scott,5,FLW,ACHIMILL,Achillea millefolium,2,31,62,3
245,2013,Carpenter,CPM,7/1/2013,1,Scott,4,FLW,ACHIMILL,Achillea millefolium,2,31,62,145
1866,2013,Lookout,LS,7/24/2013,4,Scott,5,FLW,ACHIMILL,Achillea millefolium,1,62,62,6
32,2014,Carpenter,CPM,7/10/2014,2,KH,2,FLW,ACHIMILL,Achillea millefolium,2,31,62,5.01
3155,2011,Frissel,M2,8/4/2011,3,Andy,3,FLW,ACHIMILL,Achillea millefolium,1,63,63,33.6
2386,2012,Lookout,LS,7/22/2014,2,Vera,10,FLW,ACHIMILL,Achillea millefolium,1,63,63,9300
121,2011,Bunchgrass,BD,8/22/2011,5,Vera,5,FLW,ACHIMILL,Achillea millefolium,1,64,64,64
1728,2012,Carpenter,CPS,7/31/2014,3,Andy,10,FLW,ACHIMILL,Achillea millefolium,2,32,64,56
207,2013,Carpenter,CPB,8/6/2013,6,Fabian,9,FLW,ACHIMILL,Achillea millefolium,4,16,64,188
1293,2013,Lookout,LM,8/5/2013,6,ALR,2,FLW,ACHIMILL,Achillea millefolium,1,64,64,182
